area,total_restaurants
Bhadra,1
"Block Gg1 Vikaspuri",1
Vikhroli,1
"Vijaya Nagar Colony",1
"Sector 8  Rohini",1
"Lal Darwaza",1
Raikhad,1
"Golf Green",1
Aliabad,1
"Langar Houz",1
Khilwat,1
"Koramangala - Bangalore",1
"Punjab Bagh",1
"Boudhanagar Colony",1
"Hindustan Park",1
"Azad Nagar",1
"Budhwar Peth",1
"Thirunagar Signal Vadapalani",1
"Wadgaon Budruk Tilak Road",1
"New Rander Road",1
"Palanpur Jakatnaka",1
Rander,1
"Chowk Bazar",1
Chandrayangutta,1
Darulshifa,1
Yakutpura,1
Bhimrad,1
"Express Avenue Mall",1
Ambavadi,1
"Tad Bun",1
"Sector 51",1
"Lnt Mall Musarambagh",1
J.C.Nagar,1
"Kapodra Patiya",1
"Phoenix Mall",1
"Mukherjee Nagar",1
"Talab Katta",1
"Shah-E-Alam Roja",1
"Near Lal Gate Ramlal Bazarsapuipara",1
Dapodi,1
"Vijay Nagar Colony",1
"Sector 73",1
Dudheshwar,1
"Katad Khana",1
Balkampet,1
Vakola,1
"Sadar Bazaar",1
"Jogeshwari East",1
"Southern Avenue Gariahat",1
"Kothapet & Dilshuknagar",1
"Viveka Nagar",1
Dabholi,1
"Athwa Station Road",1
"Mmda Colony",1
"Drive In Road",1
Someshwarpura,1
"Broadway Mall",1
"Purba Barisha",1
"Narayan Nagar",1
Sherkotda,1
Sheshadripuram,1
26,1
"Sec-9 Rohini",1
"Kiran Nagar",1
Neelasandra,1
Ranip,1
"Garodia Nagar",1
"Vile Parle",1
"Pacific Mall Subhash Nagar",1
"Dum Dum Park",1
Jodhpur,1
Bavdhan,1
Acher,1
Chintadripet,1
Madhavaram,1
"Ea Mall Royapettah",1
Nagerbazar,1
Kustia,1
"Lb Nagar",1
"Nava Naroda",1
Santhome,1
Paharganj,1
"Kurla (W)",1
Ambegaon,1
Bosepukur,1
Magob,1
Shakurpur,1
Nehrunagar,1
"Rohini - Sector 16",1
"Gunrock Enclave",1
"Chudi Bazaar",1
"Himayat Nagar",1
Hakimpet,1
"Patel  Nagar",1
"Velly View Enclave",1
"Ramnas Pura",1
"Saki Naka   Andheri East",1
"Huda Colony",1
Peerzadiguda,1
"Rt Nagar",1
"Sector 8",1
"Sri Sai Tarun Enclave",1
Rajarhat,1
Chintal,1
"Wallace Garden",1
Belgachia,1
Moosarambagh,1
Peravallur,1
L.P.Savani,1
"Sarkhej Road",1
"Bandra Kurla Complex",1
"Sarvodaya Colony",1
"Nehru Stadium Dark Kitchen Metro Manor Sydenhams",1
"Near Rto Pal Gam",1
"Santacruz Bandra East",1
Basaveshwaranagar,1
"Lakdi Ka Pul",1
"Chowpati  Athwa",1
"Old Wasermenpet",1
Battarahalli,1
"Law College Road",1
"Sion Koliwada",1
"Lower Parel Worli",1
"Dr.Radhakrishnan Salai-Mylapore",1
"Kausar Baugh Nibm Road",1
"Tolichowki Hps Kids School Opposite",1
Halsuru,1
"L.B Nagar",1
Vasna,1
Borough,1
Sithaphalmandi,1
"Srinivas Towers",1
"Dhole Patil Road",1
"Appa Balwant Chowk Pune",1
"Mahalaxmi Rd",1
"Bong Chinese Ruby Area",1
"Wazirpur Industrial Area",1
"Beltala Road",1
"Girish Park",1
"Bldg No15 /402  Aniket Building  Shivaji Nagar",1
Pitampara,1
"Rajouri Garden Extension",1
Ekdalia,1
"Sector -15",1
"Safal Square Vesu",1
"Salt Lake - Kolkata",1
"Rani Bagh",1
"Puna Patia",1
"Ultadanga Telenga Bagan",1
"Mantri Sqare Mall",1
"Ra Puram",1
"Matunga East",1
"Manohar Pukur Road",1
"Circus Avenue",1
"Central Bengalore",1
"Saki Vihar Road",1
"Vv Puram",1
Rabindrapally,1
"Smarpally Kestopur",1
"Lower Parel Area",1
"Chinar Park",1
"Ruby Park",1
"Saltlake Sector 1",1
"Rohini Sector 7",1
"Church Street",1
"Picnic Garden",1
"Knk- Nungambakam (Cds)- Chennai",1
"Kalina Ck",1
"Residency Road",1
"Cg Road",1
"South West",1
"Hyderguda Old Mla Home",1
"Kankurgachi Kolkata",1
"Andheri West Area",1
"Santacruz East Mumbai.",1
"Vardhman Premium Mall",1
Pcmc,1
"Lingarajapuram Kammanahalli",1
"Nibm Post Office Road",1
"Sainik Vihar Pritampura",1
" Begumpet",1
Banjarahills,1
"Kurla East Nehru Nagar",1
"Keshav Puram",1
"Borough - Iii",1
Somwarpeth,1
"Sarat Park",1
Dindoli,1
"Fathima Nagar",1
"The New Sion Co-Operative Housing Society",1
"Chembur Colony",1
"Ghatkopar Ck Mum",1
Rammandir,1
"Fdl_Scruz Bandra East",1
"Gandhi Bazaar",1
Ramkote,1
"King Koti",1
Bibvewadi,1
"Kestopur Rabindrapally",1
Musheerabad,1
"Gaddi Annaram",1
"Balaji Nagar",1
"Krishna Nagar Colony",1
Saligramam,1
"Sai Nagar",1
"Peeragarhi Camp",1
Chilakalguda,1
"Old Mla Quarters",1
"Sector 4 Rohini",1
Rajamohallah,1
"Sector 5 Rohini",1
Ramanthapur,1
"3Rd Block Jayanagar",1
"Venkateshwara Colony",1
Gandhinagar,1
"Secot 24Rohini",1
Nallakunta,1
"Sindhu Bhavan Road",1
"Satara Road Bibvewadi",1
"Ganesh Peth",1
"Lord Sinha Rd",1
Bhatha,1
"Vip Road",1
Naktala,1
Valasaravakkam,1
"Girdhar Nagar",1
Madhupura,1
Mahim,1
Kalupur,1
"Bhatar Athwa",1
Ghodasar,1
Yakhutpura,1
"Takara Basthi",1
"Gunti Jangaiah Nagar",1
"Sardar Colony",1
"Moonlight Cream Sagrampura",1
"Laxmi Encleve - Katargam",1
"Krishan Vihar",1
Nangloi,1
Odhav,1
"Afzal Gunj",1
"Begum Bazar",1
"Old Wadaj",1
Kadugondanahalli,1
"Noble Nagar Tenament",1
"Ganj Peth",1
Narol,1
"Cambridge Layout",1
Hatkeshwar,1
"Yoginagar Society",1
Bapunagar,1
"Ashok Bhai- Citylight",1
Kg-Iii,1
"Sri Durga Enclave",1
"Pocket C-11 Sector 5 Rohini",1
Gomtipur,1
Nalgonda,1
"Mg Road",1
"Tri Nagar",1
"Rani Gunj",1
Rustampura,1
"Ghod Dod Road",1
"Jayanagar - 3Rd Block",1
Amarpalli,1
"Anna Nagar West",1
"Kalyan Nagar X Roads",1
"Mitul Square Piplod",1
"Padma Nagar Colony",1
"Rithala Rohini",1
"Rabindra Sarovar",1
Dhanakawadi,1
"Kailash Plaza",1
Mogappair,1
"Prashant Vihar",1
" Akhbar Nagar Circle",1
Mogapair,1
"Sri Nagar",1
"Honey Park",1
"Sector -6",1
"Umra Jakat",1
Bangur,1
"Ghod Dod Road Sarelawadi",1
"Uppal - Hyderabad",1
"Bhavani Nagar Uppal - Hyderabad",1
"Station Road Ghatkopar West",1
Bhagal,1
Jillelaguda,1
"Sector 3",1
Karvenagar,1
Sagrampuraathwa,1
"Sanjay Nagar New Bel Road",1
"Panjarapole Cross Road",1
