restaurant,food_type
"Cake Cart","Desserts,Bakery"
"Cake Corner","Bakery,Desserts,Combo,Indian"
"Cake Corner","Bakery,Desserts,Combo,Indian"
"Cake Corner","Desserts,Bakery,Combo,Indian"
"Cake Corner & Bakery","Bakery,Desserts,Combo,Indian"
"Cake D'Licious","Bakery,Desserts"
"Cake Eggless","Desserts,Fast Food"
"Cake Factory","Bakery,Desserts,Indian,Combo,Sweets"
"Cake Fairy","Bakery,Beverages,Pizzas"
"Cake Feast","Desserts,Bakery"
"Cake For You","Bakery,Desserts"
"Cake Galatta","Desserts,Bakery,Continental,Pizzas"
"Cake It Out","Desserts,Ice Cream"
"Cake Junction","Bakery,Indian,Desserts,Combo,Sweets"
"Cake L'Amore","Bakery,Beverages,Desserts"
"Cake Max","Bakery,Desserts,Pizzas,Beverages"
"Cake Me Away","Desserts,Bakery"
"Cake Paradise","Desserts,Bakery"
"Cake Paradise","Indian,Bakery,Desserts,Combo,Sweets"
"Cake Park","Bakery,Desserts"
"Cake Point","Bakery,Desserts,Indian,Combo,Sweets"
"Cake Point","Bakery,Desserts,Combo,Indian"
"Cake Studio-100% Veg","Bakery,Chinese,Snacks,Desserts"
"Cake Walas","Bakery,Desserts,Combo,Indian"
"Cake Waves","Bakery,Desserts"
"Cake World","Desserts,Snacks,Continental"
Cake.Com,"Desserts,Bakery"
Cakeology,"Desserts,Bakery"
"Cakes By Chocolate Heaven","Desserts,Bakery"
"Cakes By Mama Mia!","Bakery,Desserts"
"Cakes Joint","Bakery,Desserts"
"Cakes N Bakes","Desserts,Bakery"
"Cakes N Cakes","Bakery,Desserts"
Cakezone,"Desserts,Bakery,Sweets,Ice Cream,Beverages,Juices,Bengali"
Cakezone,"Desserts,Bakery,Sweets,Ice Cream,Beverages,Juices,Bengali"
Cakezone,"Desserts,Bakery,Sweets,Ice Cream,Beverages,Juices,Bengali"
"Calcutta Calling","Chinese,Tandoor,Mediterranean,Kebabs,Oriental,Thai,Snacks"
"Calcutta King","Chinese,Asian"
"Calcutta Mithai","Chaat,Sweets"
"California Burrito","Mexican,American,Salads,Continental,Keto,Healthy Food"
"Call Me Chow","Chinese,Pan-Asian"
"Candice'S Gourmet Sandwiches","Continental,American"
"Candy Cloud Factory","Beverages,Desserts,Fast Food,Ice Cream"
"Cane Fresh","Indian,Beverages,Desserts"
Cantan,"Chinese,Asian,Vietnamese,Pan-Asian,Seafood,Desserts"
"Canteen Central - Burgers Pastas And More","American,Pastas,Fast Food,Snacks,Desserts,Beverages,Asian,Italian,Tibetan,North Indian"
"Canteen Central - Burgers Pastas And More","American,Pastas,Fast Food,Snacks,Desserts,Beverages,North Indian,Italian"
"Canvas By Sketch","Continental,Asian,Italian,Indian"
"Capital Multi Cuisine Restaurant","Haleem,Arabian,Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai"
"Capital Social","Indian,Chinese,South Indian,American,Kebabs,Mughlai,Biryani,Combo"
"Cappuccino At Crowne Plaza Chennai","North Indian,Indian,Salads,Biryani,Chinese,Juices,Desserts"
"Captain Egg","Indian,Oriental,Continental"
Caramella'S,"Desserts,Bakery"
"Caravan Cafe","Continental,Italian,American"
"Carnival De Goa","Goan,Mangalorean,Kerala,South Indian,Seafood,Coastal,Continental"
"Carnival Restaurant & Bar","North Indian,Chinese,Seafood,Continental"
"Casa Kitchen","North Indian,Chinese,Continental"
Celebration,"Desserts,Bakery"
Celebration,"Continental,Desserts,Beverages"
"Celebrations 365","North Indian,Chinese,South Indian,Continental"
"Celini - Grand Hyatt Mumbai","Italian,Continental,North Indian,Mughlai,Pizzas,Bakery"
"Center Point -Gandhi Smruti","Chinese,Pizzas,Continental,Indian,Street Food,Thalis"
"Central Peninsula","North Indian,Chinese,South Indian"
Cfk,"Pizzas,Pastas,Fast Food"
"Cha Bar Allenby","Indian,Snacks,Beverages"
"Chaaps & More","Indian,Punjabi,Tandoor"
"Chaat Cafe","Fast Food,Italian,Beverages,Juices"
"Chaat House","Beverages,Ice Cream,North Indian,Snacks"
"Chaat Street","Fast Food,Snacks,Chaat,Street Food,Beverages,Combo,North Indian,Indian,Maharashtrian,Rajasthani"
"Chaat Street Express","Fast Food,Snacks,Chaat,Street Food,Beverages,Combo,North Indian,Indian,Maharashtrian,Rajasthani"
Chaatimes,"Chaat,Beverages"
"Chaayos Meri Wali Chai","Bakery,Beverages,Chaat,Desserts,Home Food,Italian,Maharashtrian,Snacks,Street Food,Sweets"
"Chaayos Meri Wali Chai","Bakery,Beverages,Chaat,Desserts,Fast Food,Home Food,Italian,Maharashtrian,Snacks,Street Food,Sweets"
"Chaccha Jaan - Biryani Kebabs & Curries","Biryani,North Indian,Mughlai,Kebabs"
"Chacha'S Kitchen","Fast Food,Biryani,Chinese,Combo,Snacks"
"Chafa Cafe And Studio","Italian-American,Fast Food,Continental"
"Chai Coffe Point","Snacks,Beverages,Pizzas"
"Chai Days","Beverages,Snacks,Combo,Bakery"
"Chai G","Beverages,Fast Food,Snacks"
"Chai Garden","South Indian,Beverages"
"Chai Glass","Desserts,Bakery,Beverages,Snacks,Pastas"
"Chai Kings","Beverages,Snacks"
"Chai Mane","Fast Food,Snacks,Beverages"
"Chai Point","Bakery,Combo,Beverages,Maharashtrian,Snacks,Street Food,South Indian,Punjabi,Fast Food"
"Chai Point","Bakery,Combo,Beverages,Maharashtrian,Snacks,Street Food,South Indian,Punjabi,Fast Food"
"Chai Point","Bakery,Combo,Beverages,Maharashtrian,Snacks,Street Food,South Indian,Punjabi,Fast Food"
"Chai Sutta Bar","Street Food,Cafe,Snacks"
"Chai Sutta Bar Dilsukhnagar","Beverages,Fast Food"
"Chai Truck","Continental,American,Fast Food,Beverages"
