restaurant,food_type
"Agra Sandwich Pasta  Momos Corner","Italian,Snacks"
"Agra Sweet House","Sweets,Snacks"
"Agra Sweets Banjara","Sweets,Desserts,Chaat,Snacks,Beverages"
"Agrawala Sweets","Sweets,Fast Food"
"Ahar Amaze","Indian,Chinese"
"Ahmedabad Fast Food","Pizzas,Fast Food,Chinese"
"Ahmedi Hotel","Mughlai,Desserts"
"Aioli Bistro","Italian,Continental,Pizzas,Salads,Pastas,Desserts"
"Airborne Carnival","Fast Food,Beverages"
"Airlines Hotel","South Indian,North Indian"
"Ajay S","Italian,North Indian"
"Ajnabi Mithaai Ghar","Chaat,Sweets"
"Ajooba Food Court","Chinese,Sweets,Beverages"
"Akash Chinese","Chinese,Tandoor"
"Akkad Bakkad - Kids Meals","North Indian,Punjabi,Street Food,South Indian"
"Akkad Bakkad Bombay Boom","Snacks,Italian,Pizzas"
"Aks Kabab","South Indian,Indian,Fast Food,Street Food,Kebabs,Mughlai"
"Akshar Fast Food","Fast Food,Chinese"
"Akshar Pavbhaji And Chinese","Fast Food,Chinese,Indian"
"Akshar Varni Pavbhaji","Street Food,Chinese,South Indian"
"Akshay Court","North Indian,Chinese,Seafood,Biryani"
"Akshayam Sweets N Bakers","South Indian,North Indian,Chinese"
"Akson Restaurant","North Indian,Biryani,Kerala"
"Al - Akbar Fast Food Corner","North Indian,Chinese"
"Al Akbar Fast Food","Chinese,North Indian"
"Al Baik Shawarma & Juice Point","Juices,Fast Food"
"Al Barkat","North Indian,Fast Food,Chinese,Mughlai"
"Al Dari Biryani","Biryani,Indian"
"Al Hashmi Arabian Shawarma House","Street Food,Arabian"
"Al Kafeel Biryani","North Indian,Biryani"
"Al Madina Chicken Haleem","North Indian,Chinese,Biryani"
"Al Madina Mandi House","Biryani,Arabian,Fast Food"
"Al Mizan Biryani House","Biryani,North Indian"
"Al Pizza Corner","Pizzas,Ice Cream,Continental,Desserts"
"Al Rabea Al Arabi Cafeteria","Lebanese,Arabian,Fast Food"
"Al Souk","Juices,Grill,Arabian"
"Al Yousufain Fast Food","Indian,Fast Food"
"Al- Bek","Mughlai,North Indian"
Al-Baik,"Indian,Fast Food"
"Al-Baik Fast Food","Arabian,Grill,Pizzas,Seafood,Fast Food,Tandoor"
Al-Baik.Com,"Beverages,Snacks,Pizzas"
Al-Hamza,"Indian,Mughlai,Afghani"
"Al-Kabeer Arabian Shawarma & Momos","Tibetan,Lebanese,Fast Food,Tandoor"
"Al-Shifa Biryani","Biryani,Mughlai"
"Al-Tazaj Fried Chicken","Italian,Beverages,Fast Food"
"Albela Biryani","Biryani,Tandoor"
"Albela Cold Drink & Juice Center","Ice Cream,Beverages"
"Ali- Karim'S Food","Indian,Mughlai"
"Alibaba Shawarma And 40 Dishes","Arabian,Kebabs,Snacks"
"Aligarh House","Biryani,Mughlai,Kebabs,North Indian,Desserts,Beverages,Combo"
"Alinea Restaurant & Banquet","Indian,Chinese,Continental,Italian,Mexican"
"All Day Breakfast Company","Beverages,Indian"
"All Fruits Juice","Beverages,Juices"
"All In One  Food Point","Snacks,Italian,Continental"
"Allen Kitchen Saveurs De Calcutta","Fast Food,North Indian,Mexican,Snacks"
"Alma Of Aliments","Fast Food,Indian"
"Almond House","Sweets,Desserts,Snacks"
"Alpha Restaurant","Punjabi,Chinese"
"Alpine Restaurant & Banquet","Indian,Chinese"
"Alt-The Healthy Kitchen","Healthy Food,Thalis,Beverages,Pizzas,Chinese"
"Altaf'S Chillies Restaurants","North Indian,Chinese"
"Am2Pm Fitness Cafe","Beverages,Thalis,Indian"
"Amadora Gourmet Ice Creams","Ice Cream,Desserts"
"Amalgam - Fusion Food","Continental,Italian,Bakery,Pan-Asian,Oriental"
"Amantran Bengali Restaurant","Bengali,North Indian,Chinese,Home Food,Thalis,Beverages"
"Amar Bhandari Tiffin House","Indian,Seafood"
"Amar Juice Centre","Indian,Chinese"
Amaravathi,"Indian,Chinese,Andhra,Tandoor"
"Amaravathi Andhra Home Foods","Andhra,Indian,North Indian"
"Amaravathi Family Restaurant","Indian,Chinese,Tandoor"
"Amaravathi Restaurant","North Indian,Chinese"
"Amazing Snacks","Chinese,Beverages"
"Ambaram Fast Food","South Indian,Fast Food"
"Ambarsaria Street","Indian,Combo"
"Amber - Veg Food Delivery","North Indian,Thalis"
"Amber'S Kitchen","North Indian,Biryani"
"Ambrosia Restaurant","Indian,Chinese,Continental,South Indian"
"Ambur Star Briyani Since 1890","Biryani,Chettinad,Andhra,Beverages,Seafood"
"Amdavadi Rasoi","Indian,Chinese"
"Amdos Kitchen","Tibetan,Chinese,Fast Food"
Amethyst,"Italian,Continental"
Amey,"North Indian,Chinese,South Indian,Fast Food"
"Amfah Hotel","Biryani,North Indian,Chinese"
"Amhi Kolhapuri","Maharashtrian,North Indian,Chinese,Tandoor"
"Amhi Kolhapuri - Shivajinagar Canteen","Maharashtrian,Indian,Biryani,Beverages"
"Amigo'S Corner","Chinese,Indian,Pizzas,Pastas,Biryani,Desserts"
"Aminia Restaurant- Golpark","Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor"
"Aminia- Hatibagan","Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor"
"Amma'S Pastries","Bakery,Desserts"
"Amma'S Pure Veg","Indian,Rajasthani,Punjabi,Thalis,Desserts,Beverages"
"Ammavin Aduppankarai","Chettinad,Chinese,South Indian"
"Ammi Jaan","Biryani,Arabian,Desserts"
"Ammi'S Biryani","Biryani,North Indian,Kebabs,Mughlai,Grill,Desserts,Sweets,Beverages"
Ammini,"South Indian,Kerala"
Amrapali,"North Indian,Chinese"
Amritsari,"North Indian,Punjabi"
"Amritsari Kulcha And Delhi'S Chaap","Indian,Afghani,Fast Food,Thalis"
"Amritsari Zaika","North Indian,Punjabi,Indian,Combo"
"Amul Hav Mor @ Ice Crm Den","Ice Cream,Desserts,Beverages"
"Amulya Veg Restaurant","Chinese,Continental,Jain,North Indian,South Indian"
"Anand Ankurwala","Fast Food,Snacks"
"Anand Bhajipav & Pulav (Ankurwala)","Fast Food,Chinese,Punjabi,South Indian,Snacks"
"Anand Bhajipav And Pulav","Fast Food,North Indian"
"Anand Food Corner","Indian,Snacks,North Indian"
"Anand Food Plaza","North Indian,South Indian"
"Anand Sweets And Savouries","Sweets,Chaat,Snacks,Desserts,North Indian"
"Anand Veg","North Indian,Fast Food,Chinese"
"Ananda Mela Confectionery","Indian,Bakery,Biryani"
"Anburaj Resturant Briyani & Fast Food","Biryani,North Indian"
"Andhra Biryani","Biryani,Chinese,North Indian"
"Andhra Biryanis","Andhra,Biryani,Hyderabadi,Chinese,Tandoor"
"Andhra Gunpowder","Andhra,Biryani"
"Andhra Kodi Pulao","Biryani,North Indian,Kebabs"
"Andhra Meals And Rolls Zone","South Indian,Indian"
"Andhra Mess","Andhra,South Indian,Biryani,Chinese,Hyderabadi"
"Andhra Ruchulu","Andhra,Chettinad,Chinese,Desserts,North Indian,Seafood"
Angaara,"Indian,Chinese,Tandoor"
"Angithi By Mirch Masala","Indian,North Indian,Chinese,Punjabi,Beverages"
"Anhad Misal","Street Food,Maharashtrian"
"Anil Wine N Dine","North Indian,Chinese,Biryani,South Indian"
Anir'S,"Indian,Chinese,Tandoor,Biryani,Fast Food,North Indian,Snacks"
Anir'S,"Mughlai,Chinese,Tandoor,Biryani,Fast Food"
Aniruddha'S,"Indian,North Indian,Biryani"
"Anjana Iyengar Bakery And Chats","Bakery,Desserts,Snacks"
Anjappar,"North Indian,Chinese,Chettinad,South Indian,Seafood"
Anjappar,"Chettinad,Thalis,Biryani,Chinese,Tandoor,South Indian,North Indian"
"Ankur Biryanis","Biryani,Indian"
"Anna Cafes","Italian,Fast Food"
"Anna Dosa Point","South Indian,Fast Food,Indian,Beverages"
"Anna Viruksham","South Indian,Biryani,Combo,Thalis,Tandoor,Ice Cream,Juices,Beverages"
"Annanagar Vaishanava'S - Thattu Idli Kadai","Indian,South Indian,Chinese,Chaat"
Annapurna,"North Indian,Tandoor,Chinese"
"Annapurna Catering And Service Provider","Chinese,Indian"
"Annapurna Kitchen","Indian,Chinese,Thalis"
"Annapurna Mess","Indian,Biryani,Chinese"
"Annapurna Pure Veg","North Indian,Fast Food"
"Annapurna Pure Veg Restaurant","Indian,Chinese,Snacks,Thalis"
"Annavilasam Gourmet Veg","South Indian,North Indian,Oriental,Snacks"
"Anokha Baghicha","Indian,Chinese"
Antarastriya,"Chinese,Tibetan,Mexican,Italian-American"
"Antari By Soul Garden Bistro","Bakery,Desserts,Ice Cream,Beverages"
"Anupama Cloud Kitchen","Indian,Chinese"
"Anupama Hotel","Biryani,South Indian"
"Anupams Coast Ii Coast","Mangalorean,Chinese,North Indian,Mughlai,Punjabi,Awadhi"
"Anytime Pizza","Italian,Desserts"
Aparna,"Mughlai,North Indian,Chinese,South Indian"
"Apeksha Tea And Snacks","Fast Food,Pizzas,Snacks"
"Apna Adda Barbeque  Rolls And Tikkas","North Indian,Barbecue"
"Apna Ghar","Punjabi,North Indian,Combo,Thalis"
"Apnaa Addaa","Snacks,Beverages"
"Apni Rasoi","North Indian,Chinese,Tandoor,Snacks,Pastas"
"Appas Gurudev Pizza Sandwich Corner","Pizzas,British,American,Snacks"
Appayan,"Chinese,Combo"
"Appetizers Snacks","Italian,Fast Food,Beverages"
"Apsara Ice Creams","Ice Cream,Desserts"
"Apsara Ice Creams","Ice Cream,Desserts"
"Apsara Ice Creams","Ice Cream,Desserts"
"Apsara Ice Creams","Ice Cream,Desserts"
"Apsara Ice Creams","Ice Cream,Desserts"
"Apsara Ice Creams","Ice Cream,Desserts"
"Apu'S Kitchen Phool Bagan","Indian,Chinese"
"Apunka Adda","Snacks,Fast Food,Pizzas,Beverages"
"Arab Knights","Chinese,Combo,Mughlai,Fast Food,Lebanese,North Indian,Continental,Pastas"
"Arabesq - Kunafa & Shawarma","Arabian,Lebanese,Beverages,Juices"
"Arabian Delights","Arabian,Indian,Chinese"
"Arabian Express","Indian,Arabian"
"Arabian Grills","Chinese,Arabian"
"Arabian Grills","Arabian,Beverages"
"Arabian Palace Restaurant","Chinese,Tandoor,Indian"
"Arabian Paradise","Arabian,Tandoor,Grill"
"Arabian Wraps","Fast Food,Chinese,Pizzas,Beverages"
"Arafa Biriyani & Kebab Point","Biryani,Chinese"
"Araku Coffee","Cafe,Beverages,Bakery,Continental,Desserts,Healthy Food,European"
Arancini,"Pizzas,American,Italian,Snacks"
"Arani Snacks","Snacks,Juices"
"Arasan Bakery & Ice Cream","Bakery,Ice Cream"
"Arbab Kitchen","Biryani,Chinese,Seafood"
"Arcot Royal Biriyani And Fastfood","Biryani,Fast Food"
Arezu,"Indian,Fast Food,Arabian"
"Arhaam Rasoi","Indian,Biryani,Chinese"
"Ark Cafe","Fast Food,Beverages,Pizzas"
"Arkie'S Born Bakers","Fast Food,Bakery"
"Armaani Biryani","Biryani,Arabian,Chinese"
"Armani Kitchen","Chinese,Indian,Tandoor"
"Aroma'S Hyderabad House - Karve Road","Biryani,Mughlai,North Indian,Chinese"
"Aromas Of Asia","Pan-Asian,Chinese"
"Ars Arebian Shawarma","Arabian,Fast Food,Beverages"
"Art Of Delight","Ice Cream,Desserts,Beverages"
"Arthur'S Theme","Italian,European"
"Artinci - Indulge Guilt Free!","Ice Cream,Healthy Food,Keto,Desserts,Snacks,Beverages,Bakery"
"Artinci - Indulge Guilt Free!","Healthy Food,Keto,Desserts,Ice Cream,Snacks,Beverages,Bakery"
