area,avg_price
Kondhwa,311.328125
"Shivaji Nagar",310.386667
Esplanade,310.000000
Gobra,310.000000
"Santacruz West",310.000000
"Adajan Patiya",310.000000
"Mota Varachha",310.000000
"Ashok Vihar",309.800000
Vastrapur,309.361702
"Karve Nagar",308.000000
Adikmet,307.142857
Kestopur,307.142857
"Somajiguda & Khairtabad",307.142857
"Annanagar East",305.263158
Jadavpur,304.838710
Abids,303.478261
Rohini,303.385214
Kasba,302.083333
Ambawadi,302.000000
"Commercial Street",300.000000
"Richmond Town",300.000000
"Chandrapuri Colony",300.000000
"Fc Road",300.000000
"Sector 11 Rohini",300.000000
"College Square",300.000000
Jayamahal,300.000000
Poongavanapuram,300.000000
"Near Gurudas Park",300.000000
"Krishna Park Tilak Nagar",300.000000
"Behra Enclave Paschim Vihar",300.000000
"Jyothi Nagar",300.000000
"Broad Street",300.000000
"Sheela Vihar Colony",300.000000
"Sector 2 Rohini",300.000000
"Sri Hanuman Nagar Colony",300.000000
"A Unit Of M/S Cohort  Ruby Area",300.000000
Baranagar,300.000000
"Subhash Nagar Petrol Pump",300.000000
"Salt Lake City",300.000000
Vikhroli,300.000000
Bowenpally,300.000000
Kolathur,300.000000
Vijayanagar,300.000000
"Vijaya Nagar Colony",300.000000
Khamasa,300.000000
Sayedpura,300.000000
"Thirunagar Signal Vadapalani",300.000000
"Wadgaon Budruk Tilak Road",300.000000
"Chowk Bazar",300.000000
Bhimrad,300.000000
Marol,300.000000
"Mukherjee Nagar",300.000000
"Shah-E-Alam Roja",300.000000
Sakivihar,300.000000
"Near Lal Gate Ramlal Bazarsapuipara",300.000000
Balkampet,300.000000
"Kothapet & Dilshuknagar",300.000000
"Broadway Mall",300.000000
Ranip,300.000000
Malkajgiri,300.000000
Nagerbazar,300.000000
"Lb Nagar",300.000000
"Nava Naroda",300.000000
Shakurpur,300.000000
Nagarathpete,300.000000
Feelkhana,300.000000
Peerzadiguda,300.000000
"Rt Nagar",300.000000
"Sector 29",300.000000
"Sector 8",300.000000
Rajarhat,300.000000
Chintal,300.000000
Moosarambagh,300.000000
L.P.Savani,300.000000
"Sarvodaya Colony",300.000000
"Nehru Stadium Dark Kitchen Metro Manor Sydenhams",300.000000
"Near Rto Pal Gam",300.000000
"Old Wasermenpet",300.000000
"Law College Road",300.000000
"Dr.Radhakrishnan Salai-Mylapore",300.000000
Vasna,300.000000
Borough,300.000000
"Beltala Road",300.000000
"Girish Park",300.000000
"Salt Lake - Kolkata",300.000000
"Rani Bagh",300.000000
"Manohar Pukur Road",300.000000
"Ruby Park",300.000000
"Saltlake Sector 1",300.000000
"Knk- Nungambakam (Cds)- Chennai",300.000000
"Gautam Buddha Nagar",300.000000
"Lingarajapuram Kammanahalli",300.000000
Dindoli,300.000000
"Fdl_Scruz Bandra East",300.000000
Bibvewadi,300.000000
Gudimalkapur,300.000000
"Gaddi Annaram",300.000000
"Old Mla Quarters",300.000000
"Venkateshwara Colony",300.000000
"Secot 24Rohini",300.000000
"Lord Sinha Rd",300.000000
Bhatha,300.000000
Madhupura,300.000000
"New Textile Market",300.000000
"Bhatar Athwa",300.000000
"Gunti Jangaiah Nagar",300.000000
"Krishan Vihar",300.000000
Nangloi,300.000000
"Afzal Gunj",300.000000
"Begum Bazar",300.000000
"Noble Nagar Tenament",300.000000
"Pocket C-11 Sector 5 Rohini",300.000000
Nalgonda,300.000000
"Rithala Rohini",300.000000
Dhanakawadi,300.000000
"Kailash Plaza",300.000000
Mogappair,300.000000
Mogapair,300.000000
"Honey Park",300.000000
"Sector -6",300.000000
"Ghod Dod Road Sarelawadi",300.000000
Karvenagar,300.000000
Sagrampuraathwa,300.000000
"Chinar Park",299.000000
"Anna Nagar West",299.000000
Domlur,298.333333
Adajan,296.216216
"East Kolkata Township",295.833333
"Old Washermanpet",294.736842
"Vadgaon Budruk",294.444444
"Kothapet & Dilsukhnagar",294.307692
Shankarapura,293.750000
Vadapalani,293.333333
"New Malakpet",292.857143
Alipore,292.653846
"Santosh Nagar",291.666667
"Moti Nagar",291.666667
Rajajinagar,291.552632
Khokhra,290.909091
Purasawalkam,290.863636
Nsp,290.625000
Chetpet,290.000000
Magarpatta,290.000000
Triplicane,289.411765
"Prahlad Nagar",289.090909
"Shenoy Nagar",288.777778
"Barabazar Market",287.500000
Chiriamore,287.500000
Kavadiguda,287.500000
"Guru Nanak Nagar",287.500000
"Ganga Dham",287.500000
"Kondhwa Budruk",287.500000
"Patel Nagar",287.500000
Piplod,286.718750
"Bhawani Peth",285.714286
Tiljala,285.714286
"Parvati Paytha",285.000000
Amberpet,283.333333
Manicktala,283.333333
"Sector 14 Rohini",283.333333
"Visharant Wadi",283.333333
Sagrampura,283.333333
Varachha,283.333333
Guttahalli,283.333333
"Shukrawar Peth",283.333333
"Frazer Town",283.166667
Kachiguda,281.578947
Sanitytestarea,281.250000
"Balavinayagar Nagar",280.000000
Wanwadi,280.000000
Katargam,280.000000
"Pitam Pura",279.722222
Ejipura,278.571429
Chennai,277.777778
Dumdum,277.741935
Khairtabad,277.272727
Kolkata,277.272727
"Sion Bhakti Park",277.058824
"Viman Nagar",276.692308
Ramgopalpet,275.000000
Karkhana,275.000000
"Murad Nagar",275.000000
Hadapsar,275.000000
Chetla,275.000000
"Sector 9 Rohini",275.000000
"Lake Gardens",275.000000
"Budh Vihar",275.000000
"Madannapet Colony",275.000000
"Saijpur Bogha",275.000000
"Sector 6 Rohini",275.000000
Chanakyapuri,275.000000
"Sector 15 Rohini",275.000000
"Athwa Gate",275.000000
Royapettah,274.000000
"Sinhgad Road",273.470588
"George Town",273.470588
"New Nallakunta",272.727273
Laldarwaja,272.666667
Vastral,272.500000
"Tarnaka  Nacharam & Malkajigiri",271.428571
"Nallakunta & Vidyanagar",270.977778
"Lake Town",270.826087
Entally,270.750000
Ghatkopar,270.000000
"South West",270.000000
"Majura Gate",270.000000
Perambur,269.707865
Dhankawadi,269.565217
Swargate,269.416667
Majestic,269.090909
Gokhalenagar,268.750000
"Jodhpur Village",268.750000
Naranpura,267.633333
"Himayath Nagar",267.478261
Delhi,266.666667
"Sudhama Nagar",266.666667
"Jashoda Nagar",266.666667
Gurukul,266.500000
Maninagar,265.511111
Aminjikarai,265.454545
Basavanagudi,264.407407
Chandkheda,264.285714
"Ruby Area",264.000000
Tolichowki,263.235294
Kodungaiyur,263.000000
Bopodi,262.500000
"South Dumdum",262.500000
Cossipore,262.500000
Amroli,262.500000
Narayanguda,260.000000
Baguihati,260.000000
"Ghansi Bazaar",260.000000
Ponniammanmedu,260.000000
Srirampura,259.800000
Burrabazar,258.360000
Paikpara,258.333333
Periyamet,258.333333
Villivakkam,258.333333
Malleshwaram,258.170213
Mehdipatnam,256.818182
"Cit Nagar",255.555556
"Old Malakpet",255.555556
Begampura,254.705882
Dilsukhnagar,252.941176
Kodambakkam,252.941176
Choolaimedu,252.777778
"Cooke Town",250.000000
"New Tippasandra",250.000000
Sinthee,250.000000
Nampally,250.000000
"Ruby Area  Kasba  East Kolkata Township",250.000000
"Central Banglore",250.000000
"College Street",250.000000
Saidabad,250.000000
"Salunkhe Vihar",250.000000
Vishrantwadi,250.000000
"Sanjeeva Reddy Nagar",250.000000
"Lal Darwaza",250.000000
Jamalia,250.000000
Palanpur,250.000000
Umarwada,250.000000
Behala,250.000000
"Boudhanagar Colony",250.000000
"Palanpur Jakatnaka",250.000000
Chandrayangutta,250.000000
"Pathar Gatti",250.000000
"Sector 51",250.000000
Dapodi,250.000000
Dudheshwar,250.000000
Vakola,250.000000
"Sadar Bazaar",250.000000
"Jogeshwari East",250.000000
"Mmda Colony",250.000000
Nacharam,250.000000
"New Gayatri Nagar",250.000000
Paharganj,250.000000
Nehrunagar,250.000000
"Jodhpur Tekra",250.000000
"Sima Nagar",250.000000
Peravallur,250.000000
Kidderpore,250.000000
"Ghatkopar Vikhroli",250.000000
Vidyanagar,250.000000
Pitampara,250.000000
Ghatlodia,250.000000
"Ra Puram",250.000000
"Madhavaram - Manali",250.000000
"Rohini Sector 7",250.000000
"Hyderguda Old Mla Home",250.000000
Naroda,250.000000
"Kurla East Nehru Nagar",250.000000
"Ghatkopar Ck Mum",250.000000
Nallakunta,250.000000
"Yamuna Nagar",250.000000
Kalupur,250.000000
Salabatpura,250.000000
"Sardar Colony",250.000000
"Gidc Naroda",250.000000
Kg-Iii,250.000000
Gomtipur,250.000000
"Mg Road",250.000000
"Ghod Dod Road",250.000000
"Rabindra Sarovar",250.000000
"Uppal - Hyderabad",250.000000
"Bhavani Nagar Uppal - Hyderabad",250.000000
Nanpura,249.230769
Royapuram,248.333333
Begumpet,247.500000
Athwa,246.050505
Udhna,246.000000
"Dum Dum",244.444444
"Padmarao Nagar",243.750000
Vishala,241.666667
Arumbakkam,241.111111
Dabholi,240.000000
Narolgam,240.000000
"Modi Colony",238.000000
Hatibagan,238.000000
Hyderabad,237.500000
Santacruz,236.000000
Gopipura,235.833333
"North Dumdum",235.714286
Uppal,234.129032
Vyasarpadi,233.333333
Jorasanko,233.333333
"Narotam Nagar",233.333333
Khadia,233.333333
"West Mambalam",231.727273
"Shanti Nagar",230.000000
"Santoshnagar & Saidabad",229.214286
"Vishal Nagar",228.333333
"Sector 8 Rohini",227.272727
Yousufguda,225.000000
Choolai,225.000000
Sovabazar,225.000000
Sangvi,225.000000
"Palanpur Patia",225.000000
"Asif Nagar",225.000000
Gowlipura,225.000000
Janakpuri,225.000000
Kakurgachi,225.000000
Tarnaka,224.833333
Sarthana,223.181818
"Vip Road",220.000000
"Ganj Peth",220.000000
Baguiati,217.500000
Bharthana,216.666667
Tondiarpet,216.666667
"Kirti Nagar",216.666667
"R.T. Nagar",216.666667
"Raja Bazar",212.500000
Gaddiannaram,212.500000
Shyamal,212.500000
"Kharkhana & Trimulgherry",212.500000
Koyambedu,212.500000
"Abids & Koti",212.500000
Ameerpet,210.030303
Zamistanpur,205.000000
"Jivraj Park",205.000000
"Golconda Fort",205.000000
"Powaiandheri East",200.000000
"Madhura Nagar",200.000000
"Maniktala Main Rd",200.000000
Sarvagnanagar,200.000000
Tiretti,200.000000
"Sector 13 Rohini",200.000000
"Salt Lake Area",200.000000
"Jm Road",200.000000
Motera,200.000000
"Uttam Nagar",200.000000
"Golf Green",200.000000
"Langar Houz",200.000000
Khilwat,200.000000
"Punjab Bagh",200.000000
Shahpore,200.000000
"Sector 37",200.000000
Tala,200.000000
Darulshifa,200.000000
Haripura,200.000000
Ambavadi,200.000000
"Sampangiram Nagar",200.000000
Althan,200.000000
"Phoenix Mall",200.000000
"Talab Katta",200.000000
"Vijay Nagar Colony",200.000000
"Katad Khana",200.000000
"Athwa Station Road",200.000000
"Nava Vadaj",200.000000
"Narayan Nagar",200.000000
Sherkotda,200.000000
"Sec-9 Rohini",200.000000
"Dum Dum Park",200.000000
Jodhpur,200.000000
Bavdhan,200.000000
Acher,200.000000
Santhome,200.000000
Jorabagan,200.000000
"Kurla (W)",200.000000
Bosepukur,200.000000
Magob,200.000000
"Rohini - Sector 16",200.000000
"Gunrock Enclave",200.000000
"Chudi Bazaar",200.000000
Hakimpet,200.000000
"Patel  Nagar",200.000000
"Huda Colony",200.000000
"Sri Sai Tarun Enclave",200.000000
Belgachia,200.000000
"A.S. Rao Nagar & Sainikpuri",200.000000
Basaveshwaranagar,200.000000
"Lakdi Ka Pul",200.000000
"Jodhpur Cross Road",200.000000
Sithaphalmandi,200.000000
"Bong Chinese Ruby Area",200.000000
"Bldg No15 /402  Aniket Building  Shivaji Nagar",200.000000
"Safal Square Vesu",200.000000
"Puna Patia",200.000000
Vanasthalipuram,200.000000
Secunderabad,200.000000
"Residency Road",200.000000
"Andheri West Area",200.000000
"Santacruz East Mumbai.",200.000000
"Borough - Iii",200.000000
"Fathima Nagar",200.000000
Ramkote,200.000000
"Kestopur Rabindrapally",200.000000
Musheerabad,200.000000
"Krishna Nagar Colony",200.000000
"Sai Nagar",200.000000
"Peeragarhi Camp",200.000000
Navjivan,200.000000
"Sector 4 Rohini",200.000000
"Satara Road Bibvewadi",200.000000
Yakhutpura,200.000000
"Takara Basthi",200.000000
"Moonlight Cream Sagrampura",200.000000
Odhav,200.000000
"Cambridge Layout",200.000000
Singanpor,200.000000
"Yoginagar Society",200.000000
"Ashok Bhai- Citylight",200.000000
"Rani Gunj",200.000000
Rustampura,200.000000
"Kalyan Nagar X Roads",200.000000
"Mitul Square Piplod",200.000000
"Prashant Vihar",200.000000
" Akhbar Nagar Circle",200.000000
"Sri Nagar",200.000000
"Viveka Nagar",199.000000
"Jayanagar - 3Rd Block",199.000000
Chickpet,194.444444
Chamrajpet,191.500000
Kodihalli,190.000000
Isanpur,188.636364
"Navsari Bazaar",185.000000
Ayanavaram,184.923077
Vatva,183.333333
"Parvat Patiya",181.250000
"West Marredpally",180.000000
"Azad Nagar",180.000000
"New Mallepally",175.000000
Moghalpura,175.000000
"Mahadev Nagar Tekra",175.000000
Hedua,175.000000
Vikaspuri,175.000000
"Sanjay Nagar",175.000000
Uttran,175.000000
"Nana Varachha",169.857143
"Pankaj Nagar",166.666667
"Humayun Nagar",162.250000
"Velly View Enclave",160.000000
"Block Gg1 Vikaspuri",150.000000
"Sector 8  Rohini",150.000000
Aliabad,150.000000
"Jam Bagh",150.000000
"Kuber Nagar",150.000000
J.C.Nagar,150.000000
Ahiritola,150.000000
Sheshadripuram,150.000000
Chintadripet,150.000000
Madhavaram,150.000000
Mandaveli,150.000000
"Chowpati  Athwa",150.000000
"Kausar Baugh Nibm Road",150.000000
"Dhole Patil Road",150.000000
"Mahalaxmi Rd",150.000000
Rabindrapally,150.000000
Banjarahills,150.000000
"Gandhi Bazaar",150.000000
Saligramam,150.000000
Chilakalguda,150.000000
Rajamohallah,150.000000
Gandhinagar,150.000000
"Ganesh Peth",150.000000
Parvati,150.000000
Mahim,150.000000
"Umra Jakat",150.000000
Battarahalli,129.000000
"Sector 1 Rohini",124.500000
"Kapodra Patiya",120.000000
Jillelaguda,110.000000
"Station Road Ghatkopar West",105.000000
"Tad Bun",100.000000
"Garodia Nagar",100.000000
Ambegaon,100.000000
"Santacruz Bandra East",100.000000
"Tolichowki Hps Kids School Opposite",100.000000
"Picnic Garden",100.000000
"King Koti",100.000000
"3Rd Block Jayanagar",100.000000
Valasaravakkam,100.000000
Hirabaugh,100.000000
Kadugondanahalli,100.000000
Amarpalli,100.000000
"Padma Nagar Colony",100.000000
Bangur,98.000000
"Sanjay Nagar New Bel Road",75.000000
"Sri Durga Enclave",65.000000
Ghodasar,0.000000
